湾湾频道,#genre#
江苏卫视,http://192.168.2.3:35455/itv/6000000001000014861.m3u8?cdn=wasusyt
江苏卫视,http://192.168.2.3:35455/itv/1000000001000001828.m3u8?cdn=ystenlive
江苏卫视,http://192.168.2.3:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
江西卫视,http://192.168.2.3:35455/itv/1000000006000268001.m3u8?cdn=ystenlive
江西卫视,http://192.168.2.3:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
辽宁卫视,http://192.168.2.3:35455/itv/5000000004000011671.m3u8?cdn=bestzb
辽宁卫视,http://192.168.2.3:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
青海卫视,http://192.168.2.3:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
山东卫视,http://192.168.2.3:35455/itv/1000000001000016568.m3u8?cdn=ystenlive
山东卫视,http://192.168.2.3:35455/itv/6000000001000004134.m3u8?cdn=wasusyt
山东卫视,http://192.168.2.3:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
东方卫视,http://192.168.2.3:35455/itv/6000000001000003639.m3u8?cdn=wasusyt
东方卫视,http://192.168.2.3:35455/itv/5000000004000014098.m3u8?cdn=bestzb
东方卫视,http://192.168.2.3:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
上海ICS,http://192.168.2.3:35455/itv/5000000010000030951.m3u8?cdn=bestzb
上海第一财经,http://192.168.2.3:35455/itv/5000000010000027146.m3u8?cdn=bestzb
东方财经,http://192.168.2.3:35455/itv/5000000007000010003.m3u8?cdn=bestzb
上海东方影视,http://192.168.2.3:35455/itv/5000000010000032212.m3u8?cdn=bestzb
上海都市,http://192.168.2.3:35455/itv/5000000010000018926.m3u8?cdn=bestzb
法治天地,http://192.168.2.3:35455/itv/2000000002000000014.m3u8?cdn=hnbblive
哈哈炫动,http://192.168.2.3:35455/itv/5000000011000031123.m3u8?cdn=bestzb
纪实人文,http://192.168.2.3:35455/itv/5000000004000010282.m3u8?cdn=bestzb
纪实人文,http://192.168.2.3:35455/itv/1000000005000265021.m3u8?cdn=ystenlive
五星体育,http://192.168.2.3:35455/itv/5000000010000017540.m3u8?cdn=bestzb
上海新闻综合,http://192.168.2.3:35455/itv/5000000011000031110.m3u8?cdn=bestzb
深圳卫视,http://192.168.2.3:35455/itv/5000000004000007410.m3u8?cdn=bestzb
深圳卫视,http://192.168.2.3:35455/itv/6000000001000002116.m3u8?cdn=wasusyt
深圳卫视,http://192.168.2.3:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
四川卫视,http://192.168.2.3:35455/itv/5000000004000006119.m3u8?cdn=bestzb
天津卫视,http://192.168.2.3:35455/itv/5000000004000006827.m3u8?cdn=bestzb
天津卫视,http://192.168.2.3:35455/itv/6000000001000009186.m3u8?cdn=wasusyt
天津卫视,http://192.168.2.3:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
云南卫视,http://192.168.2.3:35455/itv/5000000011000031120.m3u8?cdn=bestzb
浙江卫视,http://192.168.2.3:35455/itv/5000000004000007275.m3u8?cdn=bestzb
浙江卫视,http://192.168.2.3:35455/itv/1000000001000014260.m3u8?cdn=ystenlive
浙江卫视,http://192.168.2.3:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
重庆卫视,http://192.168.2.3:35455/itv/1000000001000001096.m3u8?cdn=ystenlive
重庆卫视,http://192.168.2.3:35455/itv/1000000005000265017.m3u8?cdn=ystenlive

其他【肥羊】,#genre#
LOVENATURE,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
LOUPE4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
FASHIONONE,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
咪咕全民热练,http://192.168.2.3:35455/itv/3000000020000031315.m3u8?cdn=FifastbLive
求索动物,http://192.168.2.3:35455/itv/6000000002000010046.m3u8?cdn=wasusyt
求索纪录,http://192.168.2.3:35455/itv/6000000002000032052.m3u8?cdn=wasusyt
求索科学,http://192.168.2.3:35455/itv/6000000002000032344.m3u8?cdn=wasusyt
求索生活,http://192.168.2.3:35455/itv/6000000002000003382.m3u8?cdn=wasusyt
NewTV精品综合,http://192.168.2.3:35455/itv/1000000004000019008.m3u8?cdn=ystenlive
newtv精品大剧,http://192.168.2.3:35455/itv/1000000004000013968.m3u8?cdn=ystenlive
newtv精品纪录,http://192.168.2.3:35455/itv/1000000004000013730.m3u8?cdn=ystenlive
newtv精品体育,http://192.168.2.3:35455/itv/1000000004000014634.m3u8?cdn=ystenlive
NEWTV精品萌宠,http://192.168.2.3:35455/itv/1000000006000032328.m3u8?cdn=ystenlive
newtv爱情喜剧,http://192.168.2.3:35455/itv/2000000003000000010.m3u8?cdn=hnbblive
newtv超级电视剧,http://192.168.2.3:35455/itv/1000000006000268003.m3u8?cdn=ystenlive
